Munic?pio,confirmed,deaths,estimated_population_2019,indice de Gini,IDHM 2010,IDHM Renda 2010,IDHM Longevidade 2010,IDHM Educacao 2010
Capara?,1,0,5438,"0,4431","0,624","0,614","0,836","0,473"
Capela,92,0,17053,"0,5017","0,573","0,554","0,743","0,456"
Capela,23,0,34213,"0,5017","0,573","0,554","0,743","0,456"
Capela de Santana,1,0,11940,"0,3964","0,661","0,675","0,816","0,525"
Capela do Alto,34,0,20706,"0,4022","0,699","0,673","0,823","0,617"
Capela do Alto Alegre,2,0,11637,"0,4977","0,599","0,582","0,77","0,48"
Capelinha,0,0,37784,"0,5335","0,653","0,641","0,824","0,527"
Capetinga,1,0,6920,"0,4324","0,675","0,68","0,848","0,533"
Capim,38,1,6523,"0,5152","0,533","0,52","0,728","0,4"
Capim Branco,2,0,9754,"0,4063","0,695","0,664","0,837","0,604"
Capim Grosso,16,3,30662,"0,5493","0,621","0,62","0,752","0,514"
Capin?polis,1,0,16173,"0,5936","0,723","0,747","0,841","0,601"
Capinzal,2,0,22848,"0,449","0,752","0,742","0,869","0,659"
Capinzal do Norte,75,0,10934,"0,5735","0,537","0,517","0,698","0,43"
Capistrano,136,4,17738,"0,5627","0,611","0,527","0,73","0,593"
Capit?o,8,0,2757,"0,3829","0,746","0,747","0,842","0,661"
Capit?o de Campos,0,0,11417,"0,5151","0,583","0,552","0,773","0,465"
Capit?o En?as,8,0,15234,"0,4724","0,639","0,573","0,806","0,565"
Capit?o Gerv?sio Oliveira,2,0,4100,"0,5612","0,553","0,503","0,725","0,464"
Capit?o Le?nidas Marques,2,0,15780,"0,4615","0,716","0,712","0,829","0,623"
Capit?o Po?o,250,14,54303,"0,5837","0,548","0,573","0,747","0,385"
Capit?lio,2,1,8632,"0,4049","0,71","0,709","0,825","0,612"
Capivari,3,0,55768,"0,4759","0,75","0,744","0,848","0,669"
Capivari de Baixo,24,0,24871,"0,3674","0,767","0,724","0,87","0,716"
Capixaba,36,1,11733,"0,5627","0,575","0,601","0,794","0,398"
Capoeiras,7,1,20048,"0,5067","0,549","0,529","0,746","0,419"
Caracara?,15,0,21926,"0,567","0,624","0,601","0,78","0,518"
Caracol,2,0,10916,"0,6208","0,647","0,628","0,826","0,522"
Caraguatatuba,159,4,121532,"0,5202","0,759","0,735","0,845","0,705"
Cara?bas,1,0,8951,"0,493","0,555","0,57","0,739","0,405"
Carambe?,1,0,23415,"0,5444","0,728","0,721","0,836","0,64"
Caranda?,5,0,25501,"0,4786","0,697","0,663","0,821","0,622"
Carangola,60,0,33000,"0,4904","0,695","0,699","0,837","0,573"
Carapebus,14,1,16301,"0,4413","0,713","0,699","0,805","0,644"
Carapicu?ba,1016,76,400927,"0,4965","0,749","0,721","0,842","0,693"
Caratinga,28,0,92062,"0,5466","0,706","0,697","0,836","0,603"
Carauari,217,2,28294,"0,5402","0,549","0,534","0,745","0,416"
Cara?bas,33,0,20493,"0,5439","0,585","0,58","0,71","0,485"
Cara?bas do Piau?,2,0,5868,"0,5863","0,505","0,48","0,775","0,347"
Carazinho,40,0,62110,"0,5179","0,766","0,756","0,84","0,707"
Carbonita,1,0,9405,"0,4701","0,638","0,617","0,796","0,529"
Cardeal da Silva,4,0,9295,"0,5472","0,552","0,523","0,735","0,437"
Cardoso,2,0,12326,"0,4361","0,722","0,695","0,853","0,636"
Cardoso Moreira,18,0,12823,"0,4698","0,648","0,653","0,782","0,534"
Carea?u,1,0,6757,"0,4077","0,683","0,666","0,824","0,581"
Careiro,642,13,37869,"0,6668","0,557","0,515","0,779","0,431"
Careiro da V?rzea,50,1,30225,"0,5722","0,568","0,523","0,779","0,45"
Cariacica,1699,88,381285,"0,4728","0,718","0,699","0,844","0,628"
Caridade,53,7,22547,"0,5244","0,592","0,528","0,779","0,505"
Carira,4,0,22082,"0,4961","0,588","0,581","0,791","0,442"
Carir?,93,0,18448,"0,542","0,596","0,537","0,749","0,526"
Cariri do Tocantins,49,1,4382,"0,4653","0,662","0,639","0,826","0,549"
Cariria?u,12,2,26965,"0,5175","0,578","0,549","0,73","0,483"
Cari?s,3,1,18699,"0,5277","0,597","0,546","0,751","0,519"
Carl?polis,0,0,14320,"0,475","0,713","0,696","0,832","0,625"
Carlos Barbosa,157,1,29833,"0,5073","0,796","0,835","0,835","0,724"
Carlos Chagas,1,0,18837,"0,5448","0,648","0,641","0,826","0,513"
Carmo,21,0,18895,"0,4818","0,696","0,683","0,813","0,608"
Carmo da Cachoeira,1,0,12170,"0,4575","0,655","0,672","0,801","0,523"
Carmo da Mata,1,0,11476,"0,4043","0,689","0,68","0,84","0,572"
Carmo do Cajuru,39,2,22478,"0,4463","0,71","0,695","0,853","0,605"
Carmo do Parana?ba,5,0,30329,"0,5113","0,705","0,713","0,861","0,571"
Carmo do Rio Claro,2,0,21225,"0,5201","0,733","0,715","0,85","0,649"
Carmo do Rio Verde,3,0,10082,"0,4595","0,713","0,677","0,824","0,649"
Carmol?ndia,0,0,2580,"0,5013","0,64","0,621","0,81","0,521"
Carm?polis,8,1,16634,"0,5589","0,643","0,623","0,783","0,546"
Carm?polis de Minas,13,0,19355,"0,4635","0,7","0,694","0,85","0,582"
Carna?ba,14,4,19551,"0,539","0,583","0,54","0,727","0,505"
Carna?ba dos Dantas,2,1,8180,"0,4078","0,659","0,624","0,796","0,577"
Carnaubais,11,0,10759,"0,5263","0,589","0,583","0,738","0,476"
Carnaubal,29,0,17606,"0,5351","0,593","0,536","0,76","0,513"
Carnaubeira da Penha,4,1,12932,"0,566","0,573","0,491","0,755","0,508"
Carneiros,10,0,9081,"0,5463","0,526","0,517","0,709","0,398"
Caroebe,40,2,10169,"0,5549","0,639","0,6","0,791","0,549"
Carolina,31,0,24322,"0,5624","0,634","0,6","0,802","0,529"
Carpina,107,17,83641,"0,521","0,68","0,63","0,806","0,619"
Carrapateira,1,0,2659,"0,4764","0,603","0,529","0,765","0,543"
Carrasco Bonito,0,0,4095,"0,5609","0,594","0,543","0,728","0,531"
Caruaru,335,33,361118,"0,5422","0,677","0,681","0,799","0,569"
Carutapera,81,9,23807,"0,5465","0,574","0,533","0,747","0,476"
Casa Branca,3,0,30380,"0,5122","0,73","0,727","0,835","0,64"
Casa Nova,0,0,71969,"0,5483","0,57","0,577","0,736","0,435"
Casca,6,0,9031,"0,431","0,785","0,778","0,847","0,733"
Cascalho Rico,1,0,3075,"0,4935","0,721","0,734","0,845","0,604"
Cascavel,201,14,71743,"0,4893","0,646","0,587","0,793","0,578"
Cascavel,407,7,328454,"0,4893","0,646","0,587","0,793","0,578"
Caseara,1,0,5369,"0,6171","0,658","0,647","0,825","0,534"
Caseiros,2,0,3202,"0,4917","0,703","0,696","0,833","0,6"
Casimiro de Abreu,104,6,44184,"0,4967","0,726","0,734","0,811","0,642"
Casinhas,4,0,14341,"0,4535","0,567","0,518","0,721","0,489"
Casserengue,8,0,7468,"0,5814","0,514","0,492","0,73","0,379"
C?ssia dos Coqueiros,2,0,2523,"0,4352","0,734","0,68","0,864","0,673"
Castanhal,670,78,200793,"0,5555","0,673","0,654","0,8","0,582"
Castelo,19,1,37534,"0,4586","0,726","0,703","0,852","0,639"
Castelo do Piau?,9,0,19716,"0,4893","0,587","0,566","0,754","0,473"
Castilho,5,1,21006,"0,4803","0,731","0,688","0,827","0,686"
Castro,4,0,71484,"0,5456","0,703","0,704","0,823","0,6"
Castro Alves,17,1,26264,"0,5494","0,613","0,591","0,774","0,504"
Cataguases,37,2,75123,"0,512","0,751","0,718","0,861","0,685"
Catal?o,19,0,108823,"0,5104","0,766","0,769","0,819","0,715"
Catanduva,111,8,121862,"0,4651","0,785","0,767","0,853","0,74"
Catanduvas,13,0,10861,"0,5415","0,678","0,677","0,805","0,573"
Catarina,16,0,20698,"0,5174","0,618","0,551","0,764","0,56"
Catas Altas,8,0,5376,"0,392","0,684","0,665","0,828","0,582"
Catende,95,8,42892,"0,5552","0,609","0,578","0,76","0,515"
Catigu?,2,0,7804,"0,4317","0,751","0,734","0,852","0,676"
Catingueira,4,0,4932,"0,5192","0,574","0,553","0,753","0,455"
Catol? do Rocha,40,2,30546,"0,5046","0,64","0,617","0,787","0,539"
Catu,18,1,54704,"0,5796","0,677","0,66","0,814","0,578"
Catuji,5,0,6311,"0,5546","0,54","0,534","0,771","0,382"
Catunda,10,0,10342,"0,5434","0,609","0,537","0,717","0,587"
Catura?,1,0,5070,"0,4418","0,664","0,665","0,815","0,54"
Caturit?,11,0,4852,"0,5686","0,623","0,617","0,782","0,502"
Caucaia,1659,80,361400,"0,4931","0,682","0,62","0,808","0,632"
Caxambu,8,1,21656,"0,6667","0,743","0,77","0,848","0,629"
Caxambu do Sul,27,1,3642,"0,5084","0,691","0,725","0,87","0,523"
Caxias,96,3,164880,"0,5534","0,624","0,595","0,753","0,543"
Caxias do Sul,152,4,510906,"0,4925","0,782","0,812","0,86","0,686"
Cear?-Mirim,78,7,73497,"0,5262","0,616","0,599","0,774","0,505"
Cedral,3,0,9237,"0,5677","0,605","0,52","0,748","0,57"
Cedral,16,0,10675,"0,5677","0,605","0,52","0,748","0,57"
Cedro,7,1,25557,"0,5685","0,627","0,592","0,753","0,553"
Cedro,3,0,11807,"0,5685","0,627","0,592","0,753","0,553"
Cedro de S?o Jo?o,28,0,5897,"0,5338","0,623","0,608","0,731","0,543"
Centen?rio,0,0,2905,"0,6363","0,701","0,707","0,856","0,569"
Centen?rio do Sul,4,0,10827,"0,4151","0,668","0,686","0,791","0,549"
Central do Maranh?o,6,0,8673,"0,5397","0,585","0,503","0,713","0,557"
Centralina,9,1,10350,"0,4041","0,678","0,654","0,853","0,558"
Centro do Guilherme,20,0,13458,"0,5694","0,542","0,51","0,707","0,442"
Centro Novo do Maranh?o,81,2,21622,"0,5576","0,518","0,508","0,717","0,382"
Cerejeiras,2,1,16323,"0,5147","0,692","0,688","0,799","0,602"
Ceres,3,0,22191,"0,5312","0,775","0,753","0,842","0,733"
Cerqueira C?sar,5,0,19985,"0,4352","0,729","0,71","0,821","0,666"
Cerquilho,13,2,48949,"0,4199","0,782","0,758","0,854","0,739"
Cerro Cor?,1,1,11179,"0,54","0,607","0,573","0,754","0,518"
Cerro Grande do Sul,1,1,12239,"0,5026","0,66","0,673","0,855","0,499"
Ces?rio Lange,7,1,18148,"0,438","0,706","0,715","0,804","0,611"
C?u Azul,9,0,11765,"0,4721","0,732","0,732","0,812","0,659"
Ch? de Alegria,57,3,13518,"0,463","0,604","0,546","0,762","0,529"
Ch? Grande,76,5,21698,"0,5582","0,599","0,603","0,803","0,443"
Ch? Preta,3,0,7311,"0,522","0,575","0,537","0,737","0,481"
Ch?cara,1,0,3154,"0,4403","0,664","0,65","0,878","0,512"
Chal?,1,0,5704,"0,4573","0,655","0,636","0,787","0,561"
Chapada,3,0,9269,"0,4629","0,757","0,752","0,849","0,679"
Chapada da Natividade,0,0,3333,"0,6287","0,62","0,59","0,814","0,497"
Chapada de Areia,0,0,1406,"0,5254","0,619","0,619","0,726","0,529"
Chapada dos Guimar?es,12,1,19752,"0,5477","0,688","0,677","0,833","0,578"
Chapad?o do C?u,11,0,10167,"0,422","0,742","0,748","0,837","0,652"
Chapad?o do Sul,13,0,25218,"0,473","0,754","0,758","0,85","0,665"
Chapadinha,846,4,79675,"0,6019","0,604","0,554","0,77","0,517"
Chapec?,877,4,220367,"0,4819","0,79","0,779","0,871","0,727"
Charqueada,53,3,17190,"0,4061","0,736","0,72","0,82","0,675"
Charqueadas,12,0,40789,"0,4445","0,747","0,726","0,87","0,659"
Chaval,63,3,13069,"0,5062","0,586","0,524","0,716","0,536"
Chavantes,1,0,12418,"0,481","0,729","0,713","0,828","0,655"
Chaves,15,1,23717,"0,6732","0,453","0,516","0,769","0,234"
Chiador,16,0,2687,"0,6223","0,711","0,742","0,868","0,559"
Chopinzinho,3,0,19254,"0,5521","0,74","0,74","0,817","0,671"
Chor?,84,2,13521,"0,5793","0,585","0,493","0,778","0,523"
Chorozinho,87,4,20264,"0,5027","0,604","0,57","0,742","0,522"
Cianorte,57,1,82620,"0,4141","0,755","0,747","0,841","0,685"
C?cero Dantas,1,0,32515,"0,5391","0,585","0,59","0,712","0,477"
Cidade Ga?cha,2,1,12652,"0,4279","0,718","0,712","0,805","0,645"
Cidade Ocidental,23,0,71376,"0,5247","0,717","0,706","0,814","0,641"
Cidel?ndia,74,0,14697,"0,4731","0,6","0,562","0,728","0,529"
Cidreira,6,1,16254,"0,5047","0,729","0,73","0,848","0,625"
Cip?,1,0,17300,"0,5475","0,601","0,589","0,744","0,496"
Cipot?nea,0,0,6787,"0,506","0,579","0,592","0,75","0,437"
Cir?aco,1,0,4747,"0,4581","0,719","0,724","0,855","0,6"
Cl?udio,3,0,28617,"0,4053","0,709","0,701","0,846","0,602"
Coaraci,35,2,16993,"0,5638","0,613","0,615","0,762","0,491"
Coari,1875,52,85097,"0,6234","0,586","0,606","0,78","0,425"
Cocal,13,1,27787,"0,5688","0,497","0,516","0,712","0,334"
Cocal de Telha,26,0,4891,"0,5224","0,555","0,55","0,78","0,399"
Cocal do Sul,16,1,16684,"0,3806","0,78","0,747","0,859","0,74"
Cocal dos Alves,2,0,6153,"0,5945","0,498","0,504","0,779","0,315"
Cocalzinho de Goi?s,15,0,20240,"0,4911","0,657","0,648","0,826","0,531"
Cocos,8,0,18777,"0,5638","0,596","0,558","0,805","0,471"
Codaj?s,49,1,28637,"0,6153","0,563","0,546","0,775","0,421"
Cod?,746,3,122859,"0,5807","0,595","0,568","0,754","0,492"
Coelho Neto,242,2,49435,"0,5525","0,564","0,544","0,728","0,454"
Coimbra,1,0,7556,"0,4543","0,669","0,649","0,825","0,558"
Coit? do N?ia,6,0,10693,"0,5216","0,533","0,52","0,73","0,398"
Coivaras,2,0,4020,"0,488","0,565","0,543","0,732","0,453"
Colares,38,4,12085,"0,5657","0,602","0,541","0,763","0,528"
Colatina,281,3,122499,"0,5177","0,746","0,738","0,841","0,668"
Col?der,7,0,33438,"0,5816","0,713","0,732","0,819","0,604"
Colina,9,1,18468,"0,4614","0,757","0,72","0,845","0,712"
Colinas,12,0,2438,"0,6306","0,596","0,571","0,709","0,524"
Colinas,78,0,41178,"0,6306","0,596","0,571","0,709","0,524"
Colinas do Sul,0,0,3382,"0,5149","0,658","0,633","0,82","0,549"
Colinas do Tocantins,56,1,35424,"0,5841","0,701","0,69","0,814","0,614"
Colm?ia,1,0,8205,"0,5059","0,671","0,645","0,816","0,574"
Colombo,45,0,243726,"0,4196","0,733","0,715","0,87","0,632"
Col?nia do Gurgu?ia,4,1,6484,"0,4964","0,628","0,578","0,778","0,55"
Col?nia do Piau?,3,0,7656,"0,5092","0,588","0,57","0,772","0,462"
Col?nia Leopoldina,36,0,21698,"0,5406","0,517","0,548","0,693","0,363"
Colorado,2,0,3175,"0,4372","0,73","0,747","0,804","0,649"
Colorado,4,0,24012,"0,4372","0,73","0,747","0,804","0,649"
Combinado,0,0,4852,"0,5196","0,697","0,649","0,815","0,639"
Comendador Levy Gasparian,10,0,8561,"0,4427","0,685","0,676","0,785","0,605"
Comercinho,1,0,6929,"0,494","0,593","0,566","0,797","0,462"
Comodoro,2,0,20763,"0,5523","0,689","0,687","0,84","0,567"
Concei??o,3,0,18982,"0,5623","0,592","0,577","0,754","0,476"
Concei??o da Barra,12,0,31063,"0,5262","0,681","0,648","0,81","0,603"
Concei??o da Feira,6,0,22581,"0,5738","0,634","0,606","0,766","0,548"
Concei??o das Alagoas,2,0,27893,"0,5263","0,712","0,734","0,862","0,57"
Concei??o de Macabu,38,0,23228,"0,4924","0,712","0,698","0,806","0,642"
Concei??o do Almeida,3,0,17247,"0,5833","0,606","0,578","0,805","0,479"
Concei??o do Araguaia,33,0,47864,"0,5348","0,64","0,631","0,77","0,54"
Concei??o do Castelo,17,1,12723,"0,5165","0,67","0,685","0,81","0,541"
Concei??o do Coit?,10,0,66612,"0,4946","0,611","0,587","0,752","0,517"
Concei??o do Jacu?pe,7,0,33153,"0,4847","0,663","0,63","0,799","0,579"
Concei??o do Lago-A?u,39,1,16237,"0,5061","0,512","0,492","0,738","0,37"
Concei??o do Mato Dentro,1,0,17842,"0,4975","0,634","0,622","0,794","0,517"
Concei??o do Rio Verde,2,0,13638,"0,5307","0,665","0,675","0,834","0,522"
Concei??o do Tocantins,0,0,4105,"0,5437","0,592","0,588","0,739","0,478"
Concei??o dos Ouros,2,0,11638,"0,3894","0,703","0,668","0,842","0,618"
Conchal,5,0,28050,"0,4477","0,708","0,699","0,827","0,614"
Conchas,8,1,17896,"0,4896","0,736","0,725","0,837","0,658"
Conc?rdia,839,7,74641,"0,4684","0,8","0,777","0,872","0,756"
Conc?rdia do Par?,103,2,33318,"0,506","0,566","0,56","0,741","0,438"
Condado,38,0,6654,"0,4842","0,594","0,573","0,769","0,476"
Condado,86,13,26421,"0,4842","0,594","0,573","0,769","0,476"
Conde,95,2,24670,"0,5399","0,56","0,551","0,705","0,451"
Conde,2,0,25837,"0,5399","0,56","0,551","0,705","0,451"
Conde?ba,3,0,17247,"0,4975","0,582","0,559","0,789","0,447"
Condor,7,0,6753,"0,5028","0,747","0,735","0,852","0,666"
Confresa,74,0,30933,"0,5973","0,668","0,66","0,812","0,556"
Congo,11,1,4786,"0,4997","0,581","0,562","0,731","0,477"
Congonhal,1,0,11950,"0,4576","0,712","0,681","0,847","0,626"
Congonhas,17,0,54762,"0,5052","0,753","0,732","0,877","0,665"
Congonhinhas,1,0,8818,"0,5071","0,668","0,655","0,809","0,562"
Conquista D'Oeste,4,0,4038,"0,491","0,718","0,707","0,807","0,65"
Conselheiro Lafaiete,29,0,128589,"0,4988","0,761","0,736","0,86","0,697"
Conselheiro Pena,1,0,22921,"0,5175","0,662","0,646","0,837","0,537"
Contagem,228,10,663855,"0,4953","0,756","0,745","0,832","0,697"
Contenda,3,1,18584,"0,4787","0,681","0,697","0,816","0,555"
Coqueiral,1,0,9159,"0,4901","0,694","0,663","0,838","0,601"
Coqueiro Seco,33,0,5845,"0,5025","0,586","0,582","0,757","0,457"
Cora??o de Maria,4,0,22605,"0,5293","0,592","0,558","0,762","0,489"
Corb?lia,4,0,17071,"0,481","0,738","0,728","0,807","0,683"
Cordeiro,20,0,21926,"0,4826","0,729","0,724","0,826","0,649"
Cordeir?polis,44,0,24528,"0,4531","0,758","0,754","0,858","0,674"
Cordilheira Alta,3,0,4453,"0,3969","0,747","0,735","0,855","0,662"
Corea?,156,1,23136,"0,513","0,61","0,526","0,758","0,568"
Coremas,15,0,15445,"0,5217","0,592","0,578","0,794","0,452"
Corinto,23,0,23731,"0,5454","0,68","0,664","0,842","0,562"
Corn?lio Proc?pio,59,1,47845,"0,488","0,759","0,746","0,848","0,692"
Coroados,11,1,6058,"0,3888","0,719","0,704","0,816","0,648"
Coroat?,169,1,65296,"0,5927","0,576","0,545","0,737","0,475"
Coromandel,7,0,27974,"0,513","0,708","0,73","0,86","0,565"
Coronel Bicaco,3,0,7325,"0,5217","0,665","0,667","0,803","0,55"
Coronel Domingos Soares,14,0,7497,"0,5416","0,6","0,609","0,792","0,447"
Coronel Fabriciano,70,0,109855,"0,4983","0,755","0,715","0,865","0,696"
Coronel Freitas,3,0,9981,"0,4103","0,744","0,732","0,86","0,653"
Coronel Jo?o Pessoa,2,1,4912,"0,4981","0,578","0,549","0,748","0,471"
Coronel Jo?o S?,3,0,15895,"0,4883","0,535","0,545","0,716","0,392"
Coronel Macedo,1,0,4681,"0,4595","0,69","0,653","0,811","0,619"
Coronel Pacheco,1,0,3086,"0,4238","0,669",673,"0,789","0,565"
Coronel Vivida,1,0,20734,"0,4741","0,723","0,714","0,81","0,653"
C?rrego do Bom Jesus,8,0,3704,"0,3851","0,692","0,665","0,84","0,592"
C?rrego do Ouro,1,0,2327,"0,4897","0,686","0,696","0,803","0,578"
C?rrego Novo,1,0,2771,"0,4347","0,632","0,596","0,805","0,525"
Corrente,23,0,26644,"0,6055","0,642","0,62","0,789","0,54"
Correntes,5,1,18207,"0,5266","0,536","0,551","0,726","0,385"
Cort?s,30,5,12578,"0,4822","0,568","0,541","0,707","0,478"
Corumb?,27,0,111435,"0,5589","0,7","0,701","0,834","0,586"
Corumb? de Goi?s,2,0,11110,"0,5185","0,68","0,665","0,829","0,571"
Corumba?ba,1,1,9723,"0,4779","0,698","0,703","0,831","0,582"
Corup?,4,0,15909,"0,4831","0,78","0,768","0,873","0,707"
Coruripe,125,7,56933,"0,5408","0,626","0,591","0,769","0,541"
Cosm?polis,22,1,72252,"0,4586","0,769","0,746","0,876","0,697"
Cosmorama,3,1,7307,"0,4106","0,722","0,705","0,849","0,63"
Costa Marques,1,0,18331,"0,5239","0,611","0,616","0,751","0,493"
Cotia,569,49,249210,"0,5872","0,78","0,789","0,851","0,707"
Cotrigua?u,4,1,19750,"0,58","0,601","0,623","0,825","0,423"
Couto de Magalh?es de Minas,1,0,4410,"0,4684","0,659","0,6","0,807","0,592"
Couto Magalh?es,12,0,5588,"0,5538","0,605","0,574","0,76","0,508"
Coxilha,23,0,2756,"0,5017","0,706","0,693","0,866","0,586"
Coxim,7,0,33543,"0,5216","0,703","0,719","0,836","0,579"
Coxixola,4,0,1921,"0,4901","0,641","0,586","0,794","0,567"
Cra?bas,55,0,24219,"0,5318","0,525","0,517","0,687","0,408"
Crate?s,168,5,75074,"0,6094","0,644","0,618","0,787","0,55"
Crato,53,0,132123,"0,5746","0,713","0,655","0,822","0,673"
Cravinhos,21,1,35292,"0,4302","0,756","0,737","0,857","0,683"
Cravol?ndia,2,0,5349,"0,5316","0,599","0,559","0,765","0,503"
Crici?ma,373,9,215186,"0,487","0,788","0,786","0,846","0,737"
Cris?lita,1,0,6704,"0,5154","0,585","0,579","0,799","0,432"
Cris?polis,2,0,21103,"0,5831","0,543","0,542","0,765","0,387"
Crissiumal,1,0,13448,"0,4151","0,712","0,702","0,835","0,616"
Cristal?ndia,0,0,7289,"0,5788","0,673","0,663","0,805","0,57"
Cristalina,7,1,58997,"0,5753","0,699","0,716","0,814","0,587"
Cristina,2,0,10242,"0,4427","0,668","0,645","0,842","0,55"
Cristin?polis,10,0,17874,"0,5002","0,553","0,54","0,755","0,414"
Cristino Castro,1,1,10423,"0,5956","0,566","0,586","0,713","0,434"
Crist?polis,4,0,13910,"0,5457","0,614","0,546","0,766","0,553"
Crix?s do Tocantins,1,0,1722,"0,4706","0,644","0,603","0,798","0,555"
Croat?,8,0,18063,"0,5864","0,59","0,497","0,76","0,544"
Crom?nia,1,0,3486,"0,5199","0,706","0,692","0,803","0,634"
Cruz,167,5,24827,"0,5856","0,632","0,573","0,752","0,586"
Cruz Alta,11,1,60299,"0,5419","0,75","0,754","0,858","0,653"
Cruz das Almas,15,0,63239,"0,5734","0,699","0,659","0,796","0,65"
Cruz do Esp?rito Santo,100,6,17319,"0,4351","0,552","0,531","0,778","0,408"
Cruzaltense,7,0,1833,"0,4594","0,719","0,724","0,849","0,605"
Cruzeiro,26,2,82238,"0,5396","0,788","0,742","0,871","0,758"
Cruzeiro do Igua?u,6,0,4252,"0,5147","0,709","0,703","0,792","0,641"
Cruzeiro do Oeste,4,0,20932,"0,4388","0,717","0,698","0,825","0,64"
Cruzeiro do Sul,48,2,12348,"0,6438","0,664","0,648","0,776","0,582"
Cruzeiro do Sul,627,7,88376,"0,6438","0,664","0,648","0,776","0,582"
Cruzeiro do Sul,6,0,4469,"0,6438","0,664","0,648","0,776","0,582"
Cruzeta,11,0,7998,"0,4278","0,654","0,602","0,748","0,621"
Cruz?lia,3,0,15417,"0,4966","0,695","0,671","0,853","0,587"
Cubat?o,352,30,130705,"0,472","0,737","0,716","0,821","0,681"
Cubati,1,0,7797,"0,4936","0,566","0,545","0,742","0,448"
Cuiab?,723,9,612547,"0,6008","0,785","0,8","0,834","0,726"
Cuit?,10,0,20338,"0,5146","0,591","0,574","0,766","0,47"
Cuit? de Mamanguape,5,0,6353,"0,4839","0,524","0,529","0,683","0,398"
Cuitegi,44,1,6803,"0,4912","0,57","0,563","0,732","0,45"
Cujubim,18,1,25215,"0,525","0,612","0,663","0,789","0,439"
Cumaru,21,0,10906,"0,5049","0,572","0,553","0,72","0,47"
Cumaru do Norte,20,0,13473,"0,6175","0,55","0,635","0,795","0,33"
Cumbe,1,0,3987,"0,4877","0,604","0,576","0,748","0,512"
Cunha,5,0,21547,"0,5477","0,684","0,672","0,826","0,576"
Cunha Por?,16,0,11086,"0,387","0,742","0,744","0,804","0,682"
Cupira,30,3,24107,"0,5069","0,592","0,601","0,763","0,453"
Cura??,33,0,34700,"0,5279","0,581","0,544","0,778","0,463"
Curimat?,6,0,11388,"0,5536","0,607","0,574","0,741","0,527"
Curion?polis,228,6,17929,"0,5527","0,636","0,592","0,809","0,536"
Curitiba,921,42,1933105,"0,5652","0,823","0,85","0,855","0,768"
Curitibanos,1,0,39745,"0,5154","0,721","0,716","0,846","0,62"
Currais,0,0,4954,"0,5188","0,542","0,49","0,743","0,438"
Currais Novos,23,1,44786,"0,5912","0,691","0,673","0,794","0,617"
Curral de Cima,10,0,5227,"0,5271","0,529","0,528","0,715","0,392"
Curral Novo do Piau?,1,0,5343,"0,5784","0,527","0,506","0,685","0,422"
Curralinho,86,4,34448,"0,5749","0,502","0,508","0,769","0,323"
Curralinhos,3,0,4443,"0,5349","0,555","0,512","0,762","0,438"
Curu?,15,0,14393,"0,6014","0,578","0,501","0,78","0,495"
Curu??,303,35,40066,"0,5828","0,582","0,542","0,758","0,48"
Cururupu,56,1,32695,"0,579","0,612","0,568","0,768","0,525"
Curvel?ndia,4,1,5219,"0,4718","0,69","0,658","0,811","0,615"
Curvelo,47,0,80129,"0,5213","0,713","0,689","0,851","0,617"
Cust?dia,48,7,37111,"0,5359","0,594","0,607","0,706","0,489"
Cutias,108,1,5983,"0,6144","0,628","0,576","0,76","0,566"
Dami?o,1,0,5330,"0,4986","0,521","0,503","0,72","0,391"
Darcin?polis,91,0,6097,"0,5192","0,581","0,597","0,764","0,429"
D?rio Meira,9,0,10710,"0,5578","0,54","0,522","0,771","0,392"
Davin?polis,69,3,12908,"0,4488","0,716","0,702","0,862","0,606"
Delfim Moreira,7,0,8025,"0,4534","0,669","0,649","0,837","0,552"
Delfin?polis,1,0,7114,"0,4757","0,74","0,702","0,872","0,661"
Delmiro Gouveia,20,2,52016,"0,538","0,612","0,599","0,774","0,494"
Delta,1,0,10533,"0,4117","0,639","0,672","0,808","0,481"
Demerval Lob?o,44,1,13817,"0,4825","0,618","0,588","0,781","0,515"
Denise,4,0,9462,"0,4229","0,683","0,672","0,802","0,59"
Deod?polis,4,0,12924,"0,4585","0,694","0,693","0,81","0,595"
Deputado Irapuan Pinheiro,4,0,9625,"0,5086","0,609","0,542","0,742","0,562"
Derrubadas,1,0,2805,"0,5913","0,707","0,664","0,846","0,628"
Descalvado,7,1,33718,"0,4573","0,76","0,74","0,865","0,687"
Descanso,2,0,8250,"0,4345","0,743","0,741","0,854","0,647"
Descoberto,1,0,5013,"0,4591","0,68","0,657","0,798","0,599"
Desterro,6,0,8297,"0,5473","0,58","0,551","0,724","0,49"
Diadema,1156,83,423884,"0,4592","0,757","0,717","0,844","0,716"
Diamante do Norte,1,0,5087,"0,4461","0,723","0,699","0,824","0,657"
Diamante do Sul,7,0,3439,"0,4622","0,608","0,605","0,777","0,479"
Diamantina,9,0,47723,"0,5713","0,716","0,693","0,839","0,632"
Dian?polis,1,0,22139,"0,5666","0,701","0,673","0,822","0,624"
Dias d'?vila,62,2,81089,"0,5337","0,676","0,651","0,811","0,584"
Diogo de Vasconcelos,3,0,3802,"0,5082","0,601","0,578","0,811","0,464"
Dion?sio,5,0,7729,"0,4582","0,702","0,651","0,821","0,647"
