Munic?pio,confirmed,deaths,estimated_population_2019,indice de Gini,IDHM 2010,IDHM Renda 2010,IDHM Longevidade 2010,IDHM Educacao 2010
Alecrim,2,0,5950,"0,4997","0,672","0,683","0,852","0,522"
Alegre,11,0,30084,"0,5291","0,721","0,708","0,839","0,63"
Alegrete,9,0,73589,"0,5278","0,74","0,72","0,849","0,664"
Al?m Para?ba,44,1,35362,"0,5013","0,726","0,713","0,857","0,626"
Alenquer,66,1,56789,"0,5968","0,564","0,529","0,779","0,436"
Alexandria,5,1,13577,"0,5381","0,606","0,581","0,779","0,491"
Alex?nia,4,0,27653,"0,4817","0,682","0,664","0,841","0,568"
Alfenas,15,0,79996,"0,5143","0,761","0,737","0,841","0,712"
Alfredo Chaves,69,2,14601,"0,4925","0,71","0,703","0,832","0,611"
Alfredo Marcondes,2,1,4166,"0,3639","0,741","0,682","0,84","0,71"
Alfredo Vasconcelos,2,1,6907,"0,4113","0,675","0,629","0,834","0,587"
Alfredo Wagner,0,0,10036,"0,5139","0,668","0,702","0,882","0,481"
Alhandra,135,4,19588,"0,4653","0,582","0,544","0,778","0,465"
Alian?a,66,13,38386,"0,5148","0,604","0,565","0,799","0,488"
Alian?a do Tocantins,3,0,5390,"0,4788","0,663","0,61","0,801","0,596"
Almadina,2,0,5464,"0,4766","0,563","0,563","0,751","0,421"
Almas,0,0,7055,"0,5745","0,636","0,616","0,796","0,524"
Almeirim,18,1,34109,"0,6573","0,642","0,659","0,809","0,497"
Almenara,14,0,41896,"0,5409","0,642","0,636","0,803","0,518"
Almino Afonso,1,0,4735,"0,4935","0,624","0,578","0,739","0,568"
Almirante Tamandar?,21,0,118623,"0,4402","0,699","0,706","0,84","0,575"
Alo?ndia,1,0,1995,"0,4528","0,697","0,694","0,834","0,585"
Alpercata,3,0,7424,"0,4758","0,646","0,629","0,824","0,521"
Alpestre,10,0,6258,"0,4919","0,671","0,7","0,795","0,543"
Alpin?polis,1,0,19853,"0,47","0,725","0,703","0,862","0,629"
Alta Floresta,37,3,51782,"0,4914","0,714","0,709","0,817","0,629"
Alta Floresta D'Oeste,3,0,22945,"0,5893","0,641","0,657","0,763","0,526"
Altair,1,0,4160,"0,4243","0,687","0,698","0,8","0,581"
Altamira,368,3,114594,"0,5721","0,665","0,662","0,811","0,548"
Altamira do Maranh?o,1,1,8128,"0,5265","0,549","0,486","0,719","0,473"
Altamira do Paran?,1,0,1942,"0,5848","0,667","0,667","0,78","0,571"
Altaneira,1,0,7586,"0,5538","0,602","0,547","0,774","0,515"
Alterosa,1,0,14466,"0,4527","0,668","0,657","0,847","0,536"
Altinho,13,0,22972,"0,521","0,598","0,559","0,792","0,482"
Altin?polis,3,0,16184,"0,4467","0,73","0,726","0,843","0,635"
Alto Alegre,1,1,4099,"0,7369","0,542","0,518","0,813","0,379"
Alto Alegre,51,1,15510,"0,7369","0,542","0,518","0,813","0,379"
Alto Alegre do Maranh?o,151,3,27053,"0,5424","0,554","0,516","0,744","0,444"
Alto Alegre do Pindar?,75,0,31919,"0,585","0,558","0,465","0,774","0,483"
Alto Alegre dos Parecis,4,0,13241,"0,5491","0,592","0,603","0,777","0,443"
Alto Araguaia,10,1,19044,"0,4761","0,704","0,712","0,802","0,612"
Alto Bela Vista,4,0,1937,"0,4735","0,755","0,734","0,882","0,664"
Alto Boa Vista,2,1,6822,"0,5941","0,651","0,613","0,803","0,561"
Alto do Rodrigues,37,4,14529,"0,4818","0,672","0,647","0,8","0,585"
Alto Gar?as,1,0,12030,"0,4752","0,701","0,707","0,835","0,583"
Alto Jequitib?,8,1,8317,"0,5113","0,66","0,66","0,787","0,554"
Alto Long?,11,0,14304,"0,5892","0,585","0,567","0,751","0,47"
Alto Paraguai,1,0,11356,"0,4818","0,638","0,612","0,784","0,541"
Alto Para?so,1,0,2741,"0,5417","0,678","0,677","0,829","0,556"
Alto Para?so,7,1,21428,"0,5417","0,678","0,677","0,829","0,556"
Alto Para?so de Goi?s,0,0,7624,"0,6556","0,713","0,723","0,819","0,611"
Alto Paran?,9,0,14770,"0,4385","0,696","0,679","0,846","0,587"
Alto Parna?ba,14,0,11190,"0,7887","0,633","0,683","0,785","0,474"
Alto Rio Doce,1,0,11000,"0,4683","0,62","0,595","0,828","0,483"
Alto Rio Novo,1,1,7836,"0,5305","0,664","0,634","0,815","0,567"
Alto Santo,27,1,17146,"0,4819","0,601","0,563","0,774","0,499"
Altos,54,1,40524,"0,5621","0,614","0,59","0,767","0,512"
Alum?nio,13,1,18628,"0,4285","0,766","0,729","0,841","0,732"
Alvar?es,172,7,16041,"0,5881","0,527","0,499","0,778","0,377"
Alvarenga,21,0,3907,"0,5258","0,592","0,589","0,798","0,441"
?lvares Florence,1,0,3679,"0,4169","0,728","0,701","0,806","0,683"
?lvares Machado,10,1,24915,"0,4657","0,758","0,712","0,834","0,732"
?lvaro de Carvalho,1,1,5227,"0,3867","0,688","0,669","0,805","0,605"
Alvorada,58,3,210305,"0,4734","0,699","0,694","0,874","0,564"
Alvorada,7,0,8412,"0,4734","0,699","0,694","0,874","0,564"
Alvorada do Gurgu?ia,1,0,5419,"0,6066","0,578","0,52","0,749","0,496"
Alvorada do Sul,6,0,11406,"0,4858","0,708","0,695","0,826","0,617"
Alvorada D'Oeste,3,0,14411,"0,5355","0,643","0,654","0,763","0,534"
Amajari,20,1,12796,"0,7502","0,484","0,437","0,815","0,319"
Amambai,5,0,39396,"0,5628","0,673","0,683","0,818","0,546"
Amap?,64,3,9109,"0,6258","0,642","0,631","0,79","0,532"
Amap? do Maranh?o,2,0,6962,"0,5789","0,52","0,503","0,688","0,406"
Amapor?,18,0,6257,"0,3977","0,669","0,644","0,785","0,591"
Amaraji,42,8,22829,"0,503","0,58","0,575","0,748","0,454"
Amaralina,2,0,3812,"0,5645","0,609","0,569","0,813","0,489"
Amarante,6,0,17598,"0,5407","0,598","0,574","0,75","0,497"
Amarante do Maranh?o,203,1,41435,"0,5902","0,555","0,541","0,716","0,441"
Amargosa,10,1,37241,"0,5679","0,625","0,616","0,807","0,492"
Amatur?,273,6,11536,"0,6698","0,56","0,499","0,773","0,455"
Am?lia Rodrigues,16,0,25102,"0,4998","0,666","0,609","0,81","0,6"
Am?rica Dourada,0,0,16094,"0,5049","0,561","0,506","0,751","0,464"
Americana,118,6,239597,"0,4693","0,811","0,8","0,876","0,76"
Am?rico Brasiliense,40,2,40504,"0,3972","0,751","0,709","0,852","0,701"
Am?rico de Campos,4,0,5969,"0,4367","0,745","0,715","0,817","0,708"
Ametista do Sul,4,0,7409,"0,5867","0,682","0,697","0,809","0,562"
Amontada,209,5,43452,"0,5633","0,606","0,503","0,761","0,582"
Amorin?polis,2,0,3126,"0,4279","0,681","0,672","0,813","0,579"
Amparo,12,0,2238,"0,5035","0,606","0,537","0,752","0,551"
Amparo,37,1,72195,"0,5035","0,606","0,537","0,752","0,551"
Amparo de S?o Francisco,4,0,2374,"0,5102","0,611","0,569","0,728","0,55"
Amp?re,6,1,19152,"0,5166","0,709","0,699","0,824","0,62"
Anadia,31,1,17545,"0,5381","0,568","0,546","0,756","0,444"
Anag?,1,1,22005,"0,4841","0,54","0,549","0,771","0,371"
Anahy,5,0,2801,"0,4353","0,695","0,671","0,844","0,593"
Anaj?s,119,2,29277,"0,6181","0,484","0,506","0,774","0,29"
Anajatuba,59,4,26803,"0,6039","0,581","0,523","0,762","0,492"
Anam?,178,0,13614,"0,5807","0,594","0,537","0,741","0,526"
Anan?s,2,0,9549,"0,4849","0,671","0,621","0,804","0,605"
Ananindeua,2624,239,530598,"0,5352","0,718","0,684","0,821","0,658"
An?polis,149,2,386923,"0,5152","0,737","0,737","0,822","0,66"
Anapu,91,1,27890,"0,5855","0,548","0,563","0,788","0,371"
Anapurus,190,1,15732,"0,5564","0,581","0,511","0,764","0,502"
Anast?cio,1,0,25135,"0,4811","0,663","0,663","0,789","0,557"
Anchieta,114,1,29263,"0,4705","0,73","0,696","0,856","0,654"
Anchieta,7,0,5638,"0,4705","0,73","0,696","0,856","0,654"
Andir?,7,0,20031,"0,436","0,725","0,69","0,838","0,66"
Andradas,4,1,41077,"0,4464","0,734","0,731","0,878","0,617"
Andradina,41,4,57157,"0,5204","0,779","0,762","0,885","0,702"
Andrel?ndia,11,0,12224,"0,5153","0,7","0,675","0,818","0,621"
Angatuba,22,2,25228,"0,4496","0,719","0,693","0,827","0,648"
Angelim,3,0,11150,"0,5898","0,572","0,555","0,751","0,448"
Angical do Piau?,6,0,6788,"0,6139","0,63","0,61","0,737","0,555"
Angico,1,0,3433,"0,4696","0,648","0,576","0,773","0,612"
Angicos,5,0,11714,"0,5361","0,624","0,606","0,756","0,53"
Angra dos Reis,685,30,203785,"0,5293","0,724","0,74","0,846","0,605"
Anguera,17,0,11221,"0,4868","0,589","0,565","0,766","0,471"
?ngulo,1,0,2928,"0,4445","0,721","0,705","0,827","0,644"
Anhanguera,1,0,1149,"0,3895","0,725","0,724","0,802","0,657"
Anhembi,2,0,6724,"0,4241","0,721","0,681","0,863","0,637"
Anhumas,2,0,4115,"0,4225","0,741","0,683","0,845","0,706"
Anicuns,0,0,21850,"0,4789","0,714","0,695","0,834","0,627"
An?sio de Abreu,16,0,9880,"0,531","0,594","0,534","0,768","0,512"
Anita Garibaldi,2,0,7133,"0,5068","0,688","0,667","0,826","0,592"
Anori,336,3,21010,"0,5984","0,561","0,54","0,757","0,433"
Anta Gorda,5,0,5981,"0,3406","0,74","0,742","0,868","0,63"
Antonina do Norte,2,0,7353,"0,5134","0,599","0,55","0,772","0,506"
Ant?nio Cardoso,2,0,11683,"0,4583","0,561","0,544","0,768","0,422"
Ant?nio Carlos,20,4,8513,"0,4795","0,683","0,65","0,838","0,584"
Ant?nio Martins,2,0,7145,"0,5119","0,578","0,554","0,76","0,458"
Ant?nio Prado,2,0,13050,"0,4164","0,758","0,777","0,835","0,671"
Aparecida,6,0,8347,"0,5148","0,578","0,567","0,747","0,456"
Aparecida,5,0,36157,"0,5148","0,578","0,567","0,747","0,456"
Aparecida de Goi?nia,401,10,578179,"0,4865","0,718","0,716","0,834","0,62"
Aparecida do Rio Doce,1,0,2474,"0,5181","0,693","0,7","0,814","0,583"
Aparecida do Rio Negro,0,0,4795,"0,4878","0,651","0,593","0,791","0,588"
Aperib?,10,0,11759,"0,4521","0,692","0,67","0,785","0,631"
Apiac?,13,0,7567,"0,5323","0,673","0,659","0,841","0,549"
Apia?,2,0,24374,"0,5556","0,71","0,662","0,835","0,647"
Apicum-A?u,73,1,17239,"0,5092","0,568","0,529","0,718","0,483"
Apodi,208,5,35845,"0,5511","0,639","0,611","0,747","0,571"
Apor?,5,0,17731,"0,5662","0,548","0,516","0,751","0,425"
Apor?,0,0,4198,"0,4605","0,693","0,692","0,823","0,584"
Apuarema,1,0,7330,"0,4661","0,552","0,555","0,735","0,413"
Apucarana,36,3,134996,"0,4505","0,748","0,741","0,845","0,668"
Apu?,27,0,21973,"0,5753","0,637","0,621","0,772","0,54"
Apuiar?s,55,6,14600,"0,543","0,618","0,536","0,741","0,593"
Aquidab?,15,1,21563,"0,5542","0,578","0,573","0,747","0,452"
Aquiraz,244,13,80271,"0,498","0,641","0,608","0,788","0,55"
Arabut?,26,0,4267,"0,4713","0,733","0,744","0,863","0,614"
Ara?agi,27,0,16987,"0,5333","0,549","0,54","0,745","0,412"
Aracaju,3623,59,657013,"0,6341","0,77","0,784","0,823","0,708"
Ara?ariguama,13,1,22364,"0,4695","0,704","0,717","0,814","0,597"
Ara?as,1,0,12177,"0,5437","0,57","0,54","0,744","0,462"
